"Journal Data Filtered By:  Selected JCR Year: 2018 Selected Editions: SCIE,SSCI Selected Category Scheme: WoS",,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
1638,ALLERGOLOGY INTERNATIONAL,"2,061",3.965,0.003820
1639,EUROPEAN RADIOLOGY,"19,597",3.962,0.033870
1639,Quaternary Geochronology,"3,104",3.962,0.007230
1641,Therapeutic Advances in Gastroenterology,"1,498",3.961,0.003880
1642,SURVEY OF OPHTHALMOLOGY,"5,504",3.959,0.004620
1643,ENVIRONMENTAL REVIEWS,"2,099",3.958,0.002870
1644,International Journal of Contemporary Hospitality Management,"4,672",3.957,0.003300
1644,JOURNAL OF ADOLESCENT HEALTH,"15,535",3.957,0.029260
1644,JOURNAL OF ADOLESCENT HEALTH,"15,535",3.957,0.029260
1647,Research in Organizational Behavior,"3,851",3.955,0.001660
1648,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,"22,675",3.954,0.024040
1649,INTERNATIONAL JOURNAL OF ROBUST AND NONLINEAR CONTROL,"7,343",3.953,0.015800
1650,Biogeosciences,"18,212",3.951,0.046700
1650,Current Forestry Reports,273,3.951,0.000980
1650,TRAFFIC,"6,603",3.951,0.008940
1653,NUTRITIONAL NEUROSCIENCE,"1,778",3.950,0.002260
1654,Current Oncology Reports,"1,961",3.949,0.004260
1654,HORMONES AND BEHAVIOR,"10,874",3.949,0.012620
1654,RNA,"13,106",3.949,0.026740
1657,IMMUNOLOGY AND CELL BIOLOGY,"5,452",3.947,0.008820
1658,PLASTIC AND RECONSTRUCTIVE SURGERY,"35,448",3.946,0.032890
1659,NeuroImage-Clinical,"5,762",3.943,0.022670
1660,TUNNELLING AND UNDERGROUND SPACE TECHNOLOGY,"8,362",3.942,0.009160
1661,EUROPEAN PSYCHIATRY,"5,610",3.941,0.008420
1661,EUROPEAN PSYCHIATRY,"5,610",3.941,0.008420
1663,CNS SPECTRUMS,"2,368",3.940,0.003340
1664,PSYCHOSOMATIC MEDICINE,"12,747",3.937,0.009630
1664,PSYCHOSOMATIC MEDICINE,"12,747",3.937,0.009630
1666,Reaction Chemistry & Engineering,664,3.935,0.002050
1667,IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS I-REGULAR PAPERS,"14,168",3.934,0.021840
1668,FOOD REVIEWS INTERNATIONAL,"1,776",3.933,0.001030
1669,CELL CALCIUM,"5,205",3.932,0.006340
1670,Annals of Intensive Care,"2,184",3.931,0.006400
1671,PLANT AND CELL PHYSIOLOGY,"16,107",3.929,0.018210
1671,Stem Cell Research,"3,077",3.929,0.008410
1673,Frontiers in Systems Neuroscience,"4,801",3.928,0.015360
1673,PLANT MOLECULAR BIOLOGY,"14,112",3.928,0.009620
1675,Current Osteoporosis Reports,"1,786",3.927,0.004610
1675,POSTHARVEST BIOLOGY AND TECHNOLOGY,"11,753",3.927,0.009870
1677,BIOORGANIC CHEMISTRY,"3,047",3.926,0.003850
1677,THEORETICAL AND APPLIED GENETICS,"20,017",3.926,0.013530
1679,Journal of NeuroInterventional Surgery,"4,407",3.925,0.011860
1679,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,"8,696",3.925,0.012120
1681,JOURNAL DER DEUTSCHEN DERMATOLOGISCHEN GESELLSCHAFT,"2,750",3.924,0.003550
1682,RADIOGRAPHICS,"11,768",3.923,0.009170
1683,ANNALS OF THORACIC SURGERY,"36,145",3.919,0.040630
1684,COMMON MARKET LAW REVIEW,"1,458",3.918,0.001910
1684,JOURNAL OF HEADACHE AND PAIN,"3,308",3.918,0.007210
1686,CELLULOSE,"13,067",3.917,0.015200
1686,JOURNAL OF PSYCHIATRIC RESEARCH,"15,180",3.917,0.020850
1686,JOURNAL OF PSYCHIATRIC RESEARCH,"15,180",3.917,0.020850
1686,LEARNING AND INSTRUCTION,"5,202",3.917,0.007330
1686,Liquid Crystals Reviews,176,3.917,0.000810
1686,POLICY STUDIES JOURNAL,"2,459",3.917,0.003030
1692,Annual Review of Political Science,"3,666",3.915,0.008010
1693,LITHOS,"21,798",3.913,0.029790
1693,OCEANOGRAPHY,"3,813",3.913,0.007790
1695,Hepatobiliary Surgery and Nutrition,719,3.911,0.002230
1696,Biomedical Optics Express,"9,547",3.910,0.021750
1697,ENGINEERING GEOLOGY,"14,026",3.909,0.015590
1698,Expert Review of Clinical Immunology,"2,562",3.907,0.006630
1699,MOLECULAR BIOLOGY OF THE CELL,"29,948",3.905,0.043310
1699,WORLD DEVELOPMENT,"19,090",3.905,0.023230
1701,Journal of Diabetes Investigation,"2,564",3.902,0.005810
1701,Stem Cells International,"4,988",3.902,0.012620
1703,Frontiers in Cellular Neuroscience,"9,711",3.900,0.035870
1704,JOURNAL OF QUANTITATIVE CRIMINOLOGY,"2,388",3.899,0.003600
1704,STEEL AND COMPOSITE STRUCTURES,"3,566",3.899,0.004620
1706,AUTISM,"4,106",3.898,0.008880
1707,PHARMACEUTICAL RESEARCH,"21,414",3.896,0.013960
1708,AMERICAN POLITICAL SCIENCE REVIEW,"14,993",3.895,0.018280
1708,Toxins,"7,709",3.895,0.015930
1710,CURRENT MEDICINAL CHEMISTRY,"16,061",3.894,0.014550
1711,INFORMATION PROCESSING & MANAGEMENT,"3,655",3.892,0.002900
1711,INFORMATION PROCESSING & MANAGEMENT,"3,655",3.892,0.002900
1713,APPLIED CLAY SCIENCE,"15,784",3.890,0.014850
1713,Open Biology,"2,316",3.890,0.010150
1715,SEISMOLOGICAL RESEARCH LETTERS,"4,492",3.888,0.010830
1716,JOURNAL OF BIOGEOGRAPHY,"15,971",3.884,0.020640
1717,Frontiers of Environmental Science & Engineering,"2,039",3.883,0.003570
1718,Journal of Informetrics,"2,672",3.879,0.005050
1718,Journal of Informetrics,"2,672",3.879,0.005050
1720,Dialogues in Human Geography,605,3.875,0.001780
1720,PROGRESS IN PLANNING,941,3.875,0.000700
1722,JOURNAL OF EPIDEMIOLOGY AND COMMUNITY HEALTH,"14,305",3.872,0.017690
1722,JOURNAL OF EPIDEMIOLOGY AND COMMUNITY HEALTH,"14,305",3.872,0.017690
1722,PROGRESS IN CRYSTAL GROWTH AND CHARACTERIZATION OF MATERIALS,982,3.872,0.000810
1725,Journal of Neuroimmune Pharmacology,"2,486",3.870,0.004750
1726,FIELD CROPS RESEARCH,"16,790",3.868,0.016630
1727,BRITISH JOURNAL OF CLINICAL PHARMACOLOGY,"14,156",3.867,0.018850
1728,Cancer Prevention Research,"5,130",3.866,0.009020
1728,OPTICS LETTERS,"70,631",3.866,0.092980
1730,BIOLOGY OF THE CELL,"2,269",3.863,0.002050
1730,JAIDS-JOURNAL OF ACQUIRED IMMUNE DEFICIENCY SYNDROMES,"14,479",3.863,0.037150
1732,ACS Chemical Neuroscience,"5,238",3.861,0.013320
1733,Journal of Natural Gas Science and Engineering,"9,021",3.859,0.021060
1734,JOURNAL OF CHROMATOGRAPHY A,"61,427",3.858,0.044730
1734,JOURNAL OF MEMORY AND LANGUAGE,"9,683",3.858,0.011470
1734,JOURNAL OF MEMORY AND LANGUAGE,"9,683",3.858,0.011470
1734,MAGNETIC RESONANCE IN MEDICINE,"32,648",3.858,0.034990
1738,Academy of Management Perspectives,"2,954",3.857,0.004780
1738,Annual Review of Statistics and Its Application,353,3.857,0.002750
1738,IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING,"12,124",3.857,0.018650
1738,JOURNAL OF CARDIAC FAILURE,"5,339",3.857,0.009350
1738,JOURNAL OF HUMAN RESOURCES,"5,323",3.857,0.013100
1743,AMERICAN NATURALIST,"28,666",3.855,0.018580
1743,HUMAN GENE THERAPY,"5,639",3.855,0.007540
1745,CITIES,"5,540",3.853,0.007510
1745,MOLECULAR PHARMACOLOGY,"17,317",3.853,0.013060
1747,CATENA,"13,025",3.851,0.016620
1747,CURRENT OPINION IN RHEUMATOLOGY,"4,866",3.851,0.008140
1747,CURRENT TREATMENT OPTIONS IN ONCOLOGY,"1,406",3.851,0.003650
1750,COASTAL ENGINEERING,"7,701",3.850,0.007460
1750,JOURNAL OF COUNSELING PSYCHOLOGY,"8,144",3.850,0.006240
1752,DECISION SUPPORT SYSTEMS,"9,734",3.847,0.009800
1752,EUROPEAN JOURNAL OF CARDIO-THORACIC SURGERY,"17,156",3.847,0.026410
1754,HABITAT INTERNATIONAL,"5,591",3.846,0.007070
1754,Seminars in Fetal & Neonatal Medicine,"2,428",3.846,0.004670
1756,Frontiers in Pharmacology,"11,518",3.845,0.028560
1757,International Journal of Machine Learning and Cybernetics,"1,998",3.844,0.003230
1758,CRIMINOLOGY,"6,782",3.842,0.005340
1759,Journal of the International Society of Sports Nutrition,"1,632",3.841,0.002130
1760,AMERICAN JOURNAL OF CLINICAL DERMATOLOGY,"2,574",3.840,0.004390
1760,Toxin Reviews,600,3.840,0.000810
1762,CHINESE CHEMICAL LETTERS,"7,055",3.839,0.008630
1763,INFLAMMOPHARMACOLOGY,"1,522",3.838,0.001770
1764,NEOPLASIA,"6,599",3.837,0.007700
1765,Journal of the Taiwan Institute of Chemical Engineers,"8,785",3.834,0.014580
1765,PRECAMBRIAN RESEARCH,"17,902",3.834,0.020100
1767,Energy Reports,447,3.830,0.000790
1768,DRUG DELIVERY,"4,394",3.829,0.006330
1768,RESPIRATORY RESEARCH,"7,123",3.829,0.012280
1770,Current Opinion in Food Science,"1,162",3.828,0.002860
1770,JOURNAL OF POLICY ANALYSIS AND MANAGEMENT,"2,534",3.828,0.006280
1772,ENVIRONMENTAL POLITICS,"2,613",3.827,0.003490
1773,CIRP ANNALS-MANUFACTURING TECHNOLOGY,"11,324",3.826,0.007590
1774,CLINICAL ORAL IMPLANTS RESEARCH,"13,819",3.825,0.015930
1774,STANFORD LAW REVIEW,"4,027",3.825,0.003960
1776,INTERNATIONAL BIODETERIORATION & BIODEGRADATION,"10,708",3.824,0.011950
1776,Journal of Integrative Plant Biology,"4,282",3.824,0.006640
1778,TAXON,"5,305",3.823,0.005980
1779,SUSTAINABLE DEVELOPMENT,"2,257",3.821,0.001420
1780,HEALTH TECHNOLOGY ASSESSMENT,"5,804",3.819,0.011360
1780,OSTEOPOROSIS INTERNATIONAL,"16,709",3.819,0.024870
1782,Current Psychiatry Reports,"4,050",3.816,0.009260
1782,Current Psychiatry Reports,"4,050",3.816,0.009260
1784,RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES,"11,633",3.815,0.020780
1784,TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE,"10,332",3.815,0.012320
1786,IEEE PERVASIVE COMPUTING,"2,247",3.813,0.001620
1787,INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE,"52,234",3.812,0.065800
1788,CELLULAR AND MOLECULAR NEUROBIOLOGY,"4,488",3.811,0.005740
1788,REJUVENATION RESEARCH,"1,927",3.811,0.002250
1788,Viruses-Basel,"8,083",3.811,0.024100
1791,BEST PRACTICE & RESEARCH CLINICAL ENDOCRINOLOGY & METABOLISM,"3,845",3.808,0.005890
1792,EUROPEAN JOURNAL OF OPERATIONAL RESEARCH,"48,466",3.806,0.044400
1793,BIOGERONTOLOGY,"2,208",3.805,0.003740
1794,ASSESSMENT,"4,413",3.804,0.007380
1794,IEEE ANTENNAS AND PROPAGATION MAGAZINE,"3,505",3.804,0.004800
1796,NEUROGASTROENTEROLOGY AND MOTILITY,"8,314",3.803,0.014510
1797,JOURNAL OF INVESTIGATIONAL ALLERGOLOGY AND CLINICAL IMMUNOLOGY,"2,192",3.802,0.002210
1798,ENDOCRINOLOGY,"43,103",3.800,0.031170
1798,Journal of Destination Marketing & Management,994,3.800,0.001130
1800,SEMINARS IN NUCLEAR MEDICINE,"2,245",3.798,0.002710
1800,World Journal of Emergency Surgery,"1,217",3.798,0.002700
1802,JOURNAL OF BUSINESS ETHICS,"28,253",3.796,0.017790
1803,MEDICAL CARE,"20,250",3.795,0.021130
1803,MEDICAL CARE,"20,250",3.795,0.021130
1805,AQUATIC TOXICOLOGY,"15,194",3.794,0.014410
1806,BIOCHIMICA ET BIOPHYSICA ACTA-BIOMEMBRANES,"18,087",3.790,0.021930
1807,TRANSACTIONS OF THE INSTITUTE OF BRITISH GEOGRAPHERS,"3,989",3.789,0.004740
1808,FOOD POLICY,"6,102",3.788,0.009030
1808,FOOD POLICY,"6,102",3.788,0.009030
1808,International Review of Cell and Molecular Biology,"1,916",3.788,0.004800
1811,NICOTINE & TOBACCO RESEARCH,"9,737",3.786,0.023650
1811,NICOTINE & TOBACCO RESEARCH,"9,737",3.786,0.023650
1813,JOURNAL OF STEROID BIOCHEMISTRY AND MOLECULAR BIOLOGY,"11,066",3.785,0.013630
1813,Journal of the American College of Radiology,"4,191",3.785,0.009760
1813,MATHEMATICAL PROGRAMMING,"10,771",3.785,0.022520
1813,PLANT SCIENCE,"14,435",3.785,0.013100
1817,Current Opinion in Insect Science,"1,563",3.784,0.006370
1818,Advances in Protein Chemistry and Structural Biology,729,3.783,0.001560
1819,Frontiers in Chemistry,"1,982",3.782,0.005110
1819,MARINE POLLUTION BULLETIN,"31,308",3.782,0.032920
1819,METHODS,"21,871",3.782,0.025700
1822,JOURNAL OF PRODUCT INNOVATION MANAGEMENT,"6,596",3.781,0.005660
1822,JOURNAL OF PRODUCT INNOVATION MANAGEMENT,"6,596",3.781,0.005660
1824,IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,"9,195",3.780,0.016000
1824,INTERNATIONAL JOURNAL OF ROCK MECHANICS AND MINING SCIENCES,"20,189",3.780,0.014370
1824,JOURNAL OF PROTEOME RESEARCH,"21,216",3.780,0.035820
1824,Nucleic Acid Therapeutics,854,3.780,0.003000
1824,POLYMER DEGRADATION AND STABILITY,"21,559",3.780,0.013340
1829,Archives of Disease in Childhood-Fetal and Neonatal Edition,"4,193",3.776,0.008410
1830,FOOD AND CHEMICAL TOXICOLOGY,"26,870",3.775,0.022550
1830,Reviews in Fisheries Science & Aquaculture,338,3.775,0.001110
1832,JOURNAL OF THE ENERGY INSTITUTE,"1,356",3.774,0.002560
1833,NEW JOURNAL OF PHYSICS,"30,191",3.773,0.076970
1834,ADVANCED ENGINEERING INFORMATICS,"2,525",3.772,0.002730
1834,Marine Drugs,"11,032",3.772,0.016950
1836,POLYMER,"60,140",3.771,0.040490
1837,Current Atherosclerosis Reports,"2,392",3.769,0.004770
1838,ASTROBIOLOGY,"3,625",3.768,0.005340
1839,PHYTOTHERAPY RESEARCH,"13,215",3.766,0.008690
1840,Earth Surface Dynamics,709,3.765,0.003080
1841,Journal of Biophotonics,"3,309",3.763,0.006210
1842,AMERICAN JOURNAL OF PATHOLOGY,"38,051",3.762,0.026190
1842,Current Pollution Reports,281,3.762,0.000670
1842,MODERN LANGUAGE JOURNAL,"4,142",3.762,0.003310
1845,Surgery for Obesity and Related Diseases,"6,229",3.758,0.014270
1846,NEUROREHABILITATION AND NEURAL REPAIR,"5,071",3.757,0.008480
1847,IEEE TRANSACTIONS ON MICROWAVE THEORY AND TECHNIQUES,"25,821",3.756,0.032050
1848,JOURNAL OF NEUROTRAUMA,"14,754",3.754,0.019770
1848,JOURNAL OF STRUCTURAL BIOLOGY,"10,153",3.754,0.024190
1848,Wiley Interdisciplinary Reviews-Developmental Biology,"1,266",3.754,0.005290
1851,IEEE ELECTRON DEVICE LETTERS,"14,904",3.753,0.020200
1851,JOURNAL OF ACCOUNTING & ECONOMICS,"10,828",3.753,0.009060
1851,JOURNAL OF COMMUNICATION,"7,883",3.753,0.007950
1854,CURRENT OPINION IN INFECTIOUS DISEASES,"3,631",3.752,0.007600
1855,ENVIRONMENTAL IMPACT ASSESSMENT REVIEW,"4,236",3.749,0.003220
1855,GENE THERAPY,"7,223",3.749,0.007040
1855,HEADACHE,"7,897",3.749,0.009930
1858,INTERNATIONAL AFFAIRS,"2,612",3.748,0.004310
1859,COGNITIVE PSYCHOLOGY,"7,958",3.746,0.004750
1859,COGNITIVE PSYCHOLOGY,"7,958",3.746,0.004750
1861,Movement Ecology,608,3.745,0.002970
1862,BUILDING RESEARCH AND INFORMATION,"3,256",3.744,0.002630
1862,JOURNAL OF MOLECULAR ENDOCRINOLOGY,"4,033",3.744,0.005730
1862,Journal of Intellectual Capital,"2,591",3.744,0.000520
1862,Retrovirology,"3,644",3.744,0.009080
1866,BIOMEDICINE & PHARMACOTHERAPY,"14,983",3.743,0.023480
1867,AIDS PATIENT CARE AND STDS,"3,526",3.742,0.006900
1867,AIDS PATIENT CARE AND STDS,"3,526",3.742,0.006900
1869,Mycotoxin Research,981,3.741,0.001160
1870,EUROPEAN CHILD & ADOLESCENT PSYCHIATRY,"5,186",3.740,0.009270
1870,EUROPEAN CHILD & ADOLESCENT PSYCHIATRY,"5,186",3.740,0.009270
1870,Structural Control & Health Monitoring,"3,353",3.740,0.005220
1873,JOURNAL OF PEDIATRICS,"32,002",3.739,0.045030
1873,New Biotechnology,"2,938",3.739,0.004640
1875,SEMINARS IN HEMATOLOGY,"2,157",3.738,0.003950
1876,ACS Medicinal Chemistry Letters,"5,475",3.737,0.013680
1877,PHYSICAL REVIEW B,"371,919",3.736,0.363380
1878,MOLECULAR AND CELLULAR BIOLOGY,"53,856",3.735,0.033980
1879,European Heart Journal-Acute Cardiovascular Care,"1,466",3.734,0.005330
1879,HIV MEDICINE,"2,660",3.734,0.006570
1881,American Economic Journal-Economic Policy,"2,049",3.733,0.017170
1882,JOURNAL OF MAGNETIC RESONANCE IMAGING,"17,147",3.732,0.027800
1883,KOREAN JOURNAL OF RADIOLOGY,"2,687",3.730,0.004800
1883,ORAL ONCOLOGY,"9,033",3.730,0.013340
1885,AMERICAN JOURNAL OF PHYSIOLOGY-GASTROINTESTINAL AND LIVER PHYSIOLOGY,"14,295",3.729,0.014090
1885,Physica Status Solidi-Rapid Research Letters,"3,346",3.729,0.008100
1887,Fluids and Barriers of the CNS,"1,127",3.727,0.002650
1887,INDUSTRIAL MANAGEMENT & DATA SYSTEMS,"3,736",3.727,0.002640
1887,SYSTEMATIC ENTOMOLOGY,"2,535",3.727,0.004280
1890,Genome Biology and Evolution,"6,587",3.726,0.026090
1891,Algal Research-Biomass Biofuels and Bioproducts,"4,778",3.723,0.010660
1892,Frontiers in Molecular Neuroscience,"4,752",3.720,0.014230
1893,Advances in Wound Care,"2,002",3.714,0.005730
1893,LWT-FOOD SCIENCE AND TECHNOLOGY,"25,642",3.714,0.032240
1893,TELEMATICS AND INFORMATICS,"2,253",3.714,0.003600
1896,Pediatric Obesity,"1,944",3.713,0.005650
1897,ENVIRONMENTAL AND EXPERIMENTAL BOTANY,"10,065",3.712,0.009540
1897,FARADAY DISCUSSIONS,"9,977",3.712,0.017560
1899,CLINICAL AND EXPERIMENTAL IMMUNOLOGY,"13,463",3.711,0.013870
1899,DNA REPAIR,"5,058",3.711,0.011920
1901,International Small Business Journal-Researching Entrepreneurship,"2,961",3.706,0.002580
1902,Annual Review of Economics,"1,537",3.705,0.010330
1902,PHARMACOECONOMICS,"4,775",3.705,0.009090
1902,PHARMACOECONOMICS,"4,775",3.705,0.009090
1905,JOURNAL OF HOSPITAL INFECTION,"7,963",3.704,0.010250
1905,PSYCHONOMIC BULLETIN & REVIEW,"11,926",3.704,0.020890
1907,REVIEWS IN MEDICAL VIROLOGY,"1,883",3.702,0.002930
1908,MICROBIOLOGICAL RESEARCH,"4,610",3.701,0.006580
1909,Advances in Applied Microbiology,"1,695",3.700,0.001850
1909,Progress in Optics,959,3.700,0.000490
1911,EXPERT OPINION ON THERAPEUTIC PATENTS,"2,949",3.699,0.005460
1912,CURRENT PROBLEMS IN CANCER,525,3.698,0.000880
1912,Chemistry-An Asian Journal,"12,018",3.698,0.020350
1912,JOURNAL OF NEPHROLOGY,"3,065",3.698,0.004370
1912,Journal of Parkinsons Disease,"1,768",3.698,0.006340
1916,Autism Research,"2,941",3.697,0.008050
1916,Autism Research,"2,941",3.697,0.008050
1918,Alexandria Engineering Journal,"3,132",3.696,0.004330
1919,MOLECULAR AND CELLULAR ENDOCRINOLOGY,"15,665",3.693,0.020780
1919,TRANSPORTATION RESEARCH PART A-POLICY AND PRACTICE,"9,871",3.693,0.012230
1919,TRANSPORTATION RESEARCH PART A-POLICY AND PRACTICE,"9,871",3.693,0.012230
1922,Journal of Cell Communication and Signaling,"1,026",3.691,0.001570
1922,SPACE WEATHER-THE INTERNATIONAL JOURNAL OF RESEARCH AND APPLICATIONS,"2,440",3.691,0.004650
1924,Annals of Translational Medicine,"3,430",3.689,0.010900
1925,Orphanet Journal of Rare Diseases,"6,654",3.687,0.015860
1926,FOOD QUALITY AND PREFERENCE,"7,933",3.684,0.008990
1926,LABORATORY INVESTIGATION,"10,025",3.684,0.009110
1926,World Allergy Organization Journal,"1,733",3.684,0.003160
1929,Database-The Journal of Biological Databases and Curation,"3,078",3.683,0.011580
1929,LANGMUIR,"117,927",3.683,0.096010
1929,Targeted Oncology,"1,135",3.683,0.002830
1932,EUROPEAN CELLS & MATERIALS,"3,184",3.682,0.003620
1932,European Journal of Psychology Applied to Legal Context,202,3.682,0.000420
1934,ANNALS OF SURGICAL ONCOLOGY,"28,017",3.681,0.050930
1934,BIOCHIMICA ET BIOPHYSICA ACTA-GENERAL SUBJECTS,"15,074",3.681,0.025420
1934,GEOMORPHOLOGY,"22,272",3.681,0.026220
1937,CLINICAL NEUROPHYSIOLOGY,"19,574",3.675,0.021420
1938,CATALYSIS COMMUNICATIONS,"15,021",3.674,0.014180
1939,ADVANCES IN WATER RESOURCES,"11,300",3.673,0.018170
1939,INTERNATIONAL JOURNAL OF FATIGUE,"13,715",3.673,0.014320
1941,JOURNAL OF RETAILING,"7,649",3.671,0.003650
1942,APPLIED MICROBIOLOGY AND BIOTECHNOLOGY,"43,697",3.670,0.047580
1942,BMC PLANT BIOLOGY,"11,485",3.670,0.021270
1944,JOURNAL OF DEMOCRACY,"3,581",3.667,0.005280
1945,BIOPHYSICAL JOURNAL,"53,720",3.665,0.054130
1946,Social Cognitive and Affective Neuroscience,"6,966",3.662,0.020880
1946,Social Cognitive and Affective Neuroscience,"6,966",3.662,0.020880
1948,European Journal of Internal Medicine,"4,559",3.660,0.009420
1949,Journal of Attention Disorders,"3,436",3.656,0.006340
1949,Journal of Attention Disorders,"3,436",3.656,0.006340
1951,MATURITAS,"6,920",3.654,0.011270
1952,JOURNAL OF THE FRANKLIN INSTITUTE-ENGINEERING AND APPLIED MATHEMATICS,"8,584",3.653,0.017230
1953,Bone & Joint Research,"1,111",3.652,0.004080
1954,EUROPEAN JOURNAL OF HUMAN GENETICS,"9,874",3.650,0.023500
1955,Journal of Sexual Medicine,"9,915",3.649,0.014910
1955,MOLECULAR MICROBIOLOGY,"34,724",3.649,0.030720
1955,MOLECULAR PLANT-MICROBE INTERACTIONS,"11,283",3.649,0.008960
1958,Frontiers in Neuroscience,"13,198",3.648,0.043000
1959,JOURNAL OF ANALYTICAL ATOMIC SPECTROMETRY,"9,448",3.646,0.010000
1960,Current Rheumatology Reports,"2,855",3.645,0.005610
1961,Journal of Sport and Health Science,"1,017",3.644,0.002890
1961,Journal of Sport and Health Science,"1,017",3.644,0.002890
1963,GOVERNANCE-AN INTERNATIONAL JOURNAL OF POLICY ADMINISTRATION AND INSTITUTIONS,"2,335",3.643,0.003870
1963,SAUDI PHARMACEUTICAL JOURNAL,"2,321",3.643,0.003870
1965,EUROPEAN JOURNAL OF VASCULAR AND ENDOVASCULAR SURGERY,"9,293",3.642,0.012760
1965,JOURNAL OF MANUFACTURING SYSTEMS,"2,851",3.642,0.004030
1967,Digestive Endoscopy,"2,548",3.640,0.006320
1967,Horticulture Research,713,3.640,0.001990
1969,International Business Review,"4,879",3.639,0.003820
1970,CLINICAL CHEMISTRY AND LABORATORY MEDICINE,"8,075",3.638,0.012680
1971,REVIEW OF ECONOMICS AND STATISTICS,"15,949",3.636,0.032030
1972,AUTONOMOUS ROBOTS,"3,460",3.634,0.004060
1972,Conservation Physiology,"1,126",3.634,0.003890
1972,Frontiers in Endocrinology,"5,532",3.634,0.015800
1972,JOURNAL OF RHEUMATOLOGY,"23,342",3.634,0.022670
1972,VADOSE ZONE JOURNAL,"4,450",3.634,0.005000
1977,Frontiers in Aging Neuroscience,"6,791",3.633,0.020910
1977,JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES,"71,714",3.633,0.083620
1979,JOURNAL OF BIOLOGICAL INORGANIC CHEMISTRY,"4,310",3.632,0.004870
1979,JOURNAL OF GASTROENTEROLOGY AND HEPATOLOGY,"12,424",3.632,0.017590
1981,CORAL REEFS,"7,312",3.631,0.007680
1981,SCANDINAVIAN JOURNAL OF MEDICINE & SCIENCE IN SPORTS,"8,919",3.631,0.014160
1983,Food Packaging and Shelf Life,769,3.630,0.001370
1983,Mobile DNA,725,3.630,0.003620
1985,SEMINARS IN NEPHROLOGY,"2,881",3.629,0.004130
1986,GERONTOLOGIST,"10,364",3.628,0.010690
1986,MOLECULAR ENDOCRINOLOGY,"11,646",3.628,0.008620
1988,JOURNAL OF ENVIRONMENTAL PSYCHOLOGY,"9,458",3.626,0.007760
1989,HUMAN RESOURCE MANAGEMENT REVIEW,"2,086",3.625,0.002290
1989,JOURNAL OF FOOD ENGINEERING,"27,021",3.625,0.018310
1991,JOURNAL OF SCIENCE AND MEDICINE IN SPORT,"6,707",3.623,0.011830
1992,Brain Structure & Function,"6,077",3.622,0.019520
1992,Smart Structures and Systems,"2,156",3.622,0.003300
1994,EUROPEAN POLYMER JOURNAL,"20,109",3.621,0.020630
1994,Journal of Geophysical Research-Biogeosciences,"8,554",3.621,0.015590
1996,Chinese Journal of Cancer,"2,222",3.620,0.003930
1997,SAFETY SCIENCE,"9,895",3.619,0.011840
1998,CHEMICAL GEOLOGY,"35,326",3.618,0.033390
1998,INSECT BIOCHEMISTRY AND MOLECULAR BIOLOGY,"7,657",3.618,0.008440
2000,Future Medicinal Chemistry,"3,838",3.617,0.007220
2001,Tissue Engineering Part A,"9,754",3.616,0.012380
2002,BRITISH JOURNAL OF OPHTHALMOLOGY,"20,629",3.615,0.021230
2002,Dermatology and Therapy,567,3.615,0.001900
2002,JOURNAL OF PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,"29,102",3.615,0.016920
2005,MICROBIAL ECOLOGY,"10,808",3.611,0.011280
2006,MOLECULAR GENETICS AND METABOLISM,"7,018",3.610,0.009900
2006,TRANSFUSION MEDICINE REVIEWS,"1,434",3.610,0.002890
2008,CURRENT HYPERTENSION REPORTS,"2,900",3.606,0.006430
2008,SEMINARS IN ONCOLOGY,"4,987",3.606,0.006590
2010,IET Renewable Power Generation,"4,035",3.605,0.006940
2010,Social Psychological and Personality Science,"2,785",3.605,0.012520
2012,MECHANISMS OF AGEING AND DEVELOPMENT,"5,666",3.603,0.005020
2012,OBESITY SURGERY,"12,860",3.603,0.019200
2014,AMERICAN PSYCHOLOGIST,"26,617",3.602,0.010990
2015,INTERNATIONAL JOURNAL OF CLIMATOLOGY,"20,592",3.601,0.030200
2016,Advances in Agronomy,"5,057",3.600,0.002920
2016,Business & Information Systems Engineering,"1,039",3.600,0.001360
2018,BIOLOGY OF BLOOD AND MARROW TRANSPLANTATION,"10,501",3.599,0.023950
2018,Nutrition & Metabolism,"3,332",3.599,0.004440
2020,BIOFACTORS,"3,561",3.598,0.003160
2020,EARTH SURFACE PROCESSES AND LANDFORMS,"11,912",3.598,0.013550
2022,IEEE-ACM TRANSACTIONS ON NETWORKING,"7,956",3.597,0.016700
2023,DEVELOPMENT AND PSYCHOPATHOLOGY,"10,802",3.593,0.012630
2024,Nutrition Journal,"4,993",3.592,0.008630
2025,NEURAL PLASTICITY,"3,691",3.591,0.010510
2025,NUTRITION,"10,941",3.591,0.012950
